Code|Subcode|Description
A63F|04|Карточные игры, игры на досках, игры типа рулетки; комнатные игры с небольшими движущимися игральными предметами; разные игры
A63G|04|Карусели; качели; кони-качалки; горки для катания
A63H|04|Игрушки, например волчки, куклы, обручи, строительные наборы и т.п.
A63J|04|Оборудование театров, цирков и т.п.; устройства для демонстрации фокусов и т.п.
A63K|04|Конный спорт; скачки; оборудование и принадлежности для них
B||Различные технологические процессы; транспортирование
B01||Способы и устройства общего назначения для осуществления различных физических и химических процессов
B01B|06|Способы варки; варочные аппараты
B01D|06|Разделение
B01F|06|Смешивание, например растворение, эмульгирование, диспергирование
B01J|06|Химические или физические процессы, например катализ, коллоидная химия; аппараты для их проведения
B01L|06|Оборудование общего назначения для химических или физических лабораторий
B02||Дробление или измельчение различных материалов; подготовка зерна к помолу
B02B|06|Подготовка зерна к помолу; очистка зерновых продуктов для придания им товарного вида путем обработки поверхности
B02C|06|Дробление или измельчение различных материалов; помол зерна
B03||Разделение твердых материалов при помощи жидкостей, концентрационных столов или отсадочных машин; магнитное или электростатическое отделение твердых материалов от твердых материалов или от текучей среды, разделение при помощи электрического поля, образова
B03B|06|Разделение твердых материалов при помощи жидкостей, концентрационных столов или отсадочных машин
B03C|06|Магнитное или электростатическое отделение твердых материалов от твердых материалов или от текучей среды; разделение при помощи электрического поля, образованного высоким напряжением
B03D|06|Флотация; дифференциальное или дробное осаждение
B04||Центробежные устройства для осуществления физических или химических процессов
B04B|06|Центрифуги
B04C|06|Устройства с использованием вихревых потоков, например циклоны
B05||Способы и устройства общего назначения для распыления и нанесения жидкостей на поверхность изделий
B05B|06|Распыление; пульверизация; распылительные насадки
B05C|06|Устройства общего назначения для нанесения жидких или других текучих веществ на поверхности изделий
B05D|06|Способы общего назначения для нанесения жидкостей или других текучих веществ на поверхности
B06||Способы и устройства общего назначения для получения или передачи механических колебаний
B06B|06|Получение или передача механических колебаний вообще
B07||Разделение или сортировка твердых материалов
B07B|06|Разделение или сортировка твердых материалов путем просеивания или грохочения; разделение при помощи газовых или воздушных потоков; прочие виды разделения сухими способами сыпучих материалов или штучных изделий, хранимых навалом и пригодных для сортировки
B07C|06|Сортировка почтовых отправлений и документации; сортировка штучных изделий или материалов, хранимых навалом, которые можно сортировать как отдельные предметы, например путем отбора
B08||Чистка
B08B|06|Способы и устройства общего назначения для чистки и предотвращения загрязнения
B09||Удаление и переработка твердых отходов; восстановление загрязненной почвы
B09B|06|Удаление и переработка твердых отходов
B09C|06|Восстановление загрязненной почвы
B21||Механическая обработка металлов без снятия стружки; обработка металлов давлением
B21B|07|Прокатка металла
B21C|07|Производство листового материала, проволоки, сортовой стали, труб и других профилей иначе, чем прокаткой; вспомогательные операции, применяемые при обработке металлов без снятия стружки
B21D|07|Механическая обработка давлением листового, сортового, профильного материала или труб; перфорация
B21F|07|Обработка проволоки и изготовление изделий из нее
B21G|07|Изготовление булавок, игл или гвоздей
B21H|07|Производство специальных изделий прокаткой или накаткой, например винтов, колес, колец, цилиндров, шаров
B21J|07|Ковка; штамповка; прессование; клепка; кузнечные горны
B21K|07|Изготовление изделий ковкой или штамповкой, например подков, заклепок, болтов, колес
B21L|07|Изготовление цепей
B22||Литейное производство; порошковая металлургия
B22C|07|Изготовление литейных форм
B22D|07|Литье металлов и прочих материалов
B22F|07|Порошковая металлургия; производство изделий из металлических порошков; изготовление металлических порошков
B23||Металлорежущие станки; способы и устройства для обработки металлов
B23B|07|Токарная обработка; сверление
B23C|07|Фрезерование
B23D|07|Строгание; долбление; резка; развертка; протяжка; прошивка, распиловка; опиловка; шабрение; подобные операции по обработке металла со снятием стружки
B23F|07|Изготовление зубчатых колес и реек
B23G|07|Нарезание резьбы; обработка винтов, болтов или гаек в сочетании с нарезанием резьбы
B23H|07|Обработка металла воздействием электрического тока высокой плотности на заготовку с использованием электрода, который является инструментом; указанная обработка, комбинированная с другими видами металлообработки
B23K|07|Пайка или распаивание; сварка; плакирование или нанесение покрытий пайкой или сваркой; резка путем местного нагрева, например газопламенная резка; обработка металла лазерным лучом
B23P|07|Прочие способы обработки; комбинированные способы обработки; универсальные станки
B23Q|07|Детали, узлы и вспомогательные устройства для металлообрабатывающих станков, например устройства для копирования или управления
B24||Шлифование; полирование
B24B|08|Станки, устройства или способы для шлифования или полирования
B24C|08|Пескоструйная обработка
B24D|08|Инструменты для шлифования, полирования или заточки
B25||Ручные инструменты; переносные инструменты с силовым приводом; рукоятки для ручных инструментов; слесарные приспособления; манипуляторы
A62||Спасательная служба; противопожарные средства
B25B|08|Инструменты для закрепления, соединения, разъединения или поддерживания
B25C|08|Ручные инструменты и устройства для забивания гвоздей или для скрепления скобами; переносные инструменты и устройства для скрепления скобами, приводимые в действие мускульной силой оператора
B25D|08|Ударные инструменты и устройства
B25F|08|Комбинированные или универсальные инструменты
B25G|08|Ручки для инструментов
B25H|08|Цеховое вспомогательное оборудование, например для маркировки изделий; устройства для хранения инструментов или деталей в цехах, мастерских и т.п.
B25J|08|Манипуляторы; камеры, оборудованные манипуляторами
B26||Ручные режущие инструменты; резка; разделение
B26B|08|Ручные переносные режущие инструменты
B26D|08|Резка; конструктивные элементы общего применения к устройствам для разделения, например резкой, перфорированием, пробивкой, вырубкой
B26F|08|Перфорирование; пробивка; вырезка; вырубка; разделение материалов без резания
B27||Обработка и консервирование древесины и подобных материалов; машины для скрепления гвоздями или скобами
B27B|08|Пилы; конструктивные элементы или приспособления для них
B27C|08|Станки по дереву для токарной обработки, строгания, сверления и фрезерования; универсальные станки
B27D|08|Переработка шпона и изготовление клееной фанеры однослойной или многослойной
B27F|08|Шиповые и шпунтовые соединения; шипорезные станки; долбежные станки; гвоздезабивные станки и станки для скрепления скобами
B27G|08|Вспомогательные устройства; инструменты; предохранительные устройства, например для пил
B27H|08|Гнутье древесины; бочарное и колесное производство
B27J|08|Механическая обработка камыша, тростника, пробки и т.п. материалов
B27K|08|Способы, устройства и выбор веществ для пропитки, морения, окрашивания, отбеливания древесины или подобных материалов или пропитка древесины или подобных материалов жидкостями
B27L|08|Окорка древесины или удаление остатков ветвей
B27M|08|Обработка древесины
B27N|08|Производство сухими способами изделий из древесных частиц или волокон или других лигноцеллюлозных или подобных органических материалов с органическими связующими веществами или без них
B28||Обработка цемента, глины и камня
B28B|08|Формование изделий из глины и прочих керамических материалов, из шлака или смесей, содержащих вяжущие вещества, например гипсовые
B28C|08|Подготовка глины; приготовление смесей, содержащих глину или вяжущие, например гипсовые
B28D|08|Обработка камня и т.п. материалов
B29||Обработка пластиков; обработка веществ в пластическом состоянии вообще
B29B|08|Подготовка или предварительная обработка материалов перед формованием; производство гранул или заготовок; регенерация пластиков или других составляющих использованных материалов, содержащих пластики
B29C|08|Формование или соединение пластиков; формование веществ в пластическом состоянии вообще; последующая обработка формованных изделий, например ремонт
B29D|08|Изготовление особых изделий из пластиков или веществ, находящихся в пластическом состоянии
B29L|08|Схема кодирования особых изделий, относящаяся к подклассу В29С
B30||Прессы
B30B|08|Прессы общего назначения
B31||Изготовление картонажных изделий; механическая обработка бумаги и картона
B31B|19|Изготовление картонажных изделий - коробок, пакетов, мешков и т.п. упаковочной тары
B31C|19|Изготовление бумажных изделий, например трубчатых, путем навивания
B31D|19|Изготовление прочих бумажных изделий
B31F|19|Механическая обработка бумаги и картона
B32||Слоистые изделия или материалы
B32B|08|Слоистые изделия или материалы, состоящие из плоских или объемных слоев, например из слоев ячеистой или сотовой структуры
B41||Печатное оборудование; линовальные машины; пишущие машины; штемпели
B41B|09|Устройства для изготовления, набора, разбора и распределения шрифта; шрифт; фотографические или фотоэлектронные наборные устройства
B41C|09|Способы изготовления или репродукции печатных форм
B41D|09|Устройства для механической репродукции форм высокой печати
B41F|09|Печатные машины
B41J|09|Пишущие машины; прочие устройства, печатающие последовательно отдельными знаками или буквами, т.е. без использования печатной формы; исправление типографских ошибок
B41K|09|Штемпели; устройства для штемпелевания или нумерации
B41L|09|Устройства для размножения, копирования или печатания, используемые в делопроизводстве; адресовальные или подобные им конторские машины для печатания
B41M|09|Способы печатания, размножения, копирования и маркирования; многокрасочная печать
B41N|09|Печатные формы или печатная фольга
B42||Брошюровочно-переплетное производство; альбомы; средства классификации и хранения документов и т.п.; специальные виды печатной продукции
B42B|09|Способы и устройства для брошюрования
B42C|09|Переплетение книг
B42D|09|Книги, газеты и подобные материалы; книжные переплеты; несброшюрованные листы; печатные материалы специального формата или назначения, не предусмотренные в других подклассах; устройства для чтения или письма при помощи движущейся ленты
B42F|09|Разъемно скрепляемые между собой листы; средства для подшивки документов; картотеки; индексирование
B43||Письменные, чертежные и канцелярские принадлежности
