Code|Subcode|Description
C21D|17|Изменение физической структуры черных металлов; устройства общего назначения для термообработки черных или цветных металлов или сплавов; придание ковкости металлам путем обезуглероживания, отпуска или других видов обработки
C22||Металлургия
C22B|17|Получение или рафинирование металлов
C22C|17|Сплавы
C22F|17|Изменение физической структуры цветных металлов или их сплавов
C23||Покрытие металлических материалов; покрытие других материалов металлическим материалом
C23C|17|Покрытие металлического материала; покрытие других материалов металлическим материалом; поверхностная обработка металлического материала диффузией в поверхность путем химического превращения или замещения; способы покрытия вакуумным испарением, распыление
C23D|17|Эмалирование металлов и нанесение стекловидных покрытий на металлы
C23F|17|Немеханическое удаление металлического материала с поверхности
C23G|17|Очистка или обезжиривание металлических материалов химическими способами, кроме электролитических
C25||Электролитические способы; электрофорез; устройства для них
C25B|17|Получение соединений или неметаллов электролитическими способами или способом электрофореза; устройства для них
C25C|17|Получение, регенерация или рафинирование металлов электролитическим способом; устройства для этих целей
C25D|17|Нанесение покрытий электролитическим способом или способом электрофореза; гальванопластика
C25F|17|Электролитические способы удаления примесей из изделий; устройства для них.
C30||Выращивание кристаллов
C30B|17|Выращивание монокристаллов
D||Текстиль; бумага
D01||Натуральные и химические нити и волокна; прядение
D01B|18|Механическая обработка натурального волокнистого материала с целью получения волокон, например для прядения
D01C|18|Химическая обработка натурального волокна или волокнистого материала с целью получения волокон для прядения; карбонизации ветоши с целью регенерации волокон животного происхождения
D01D|18|Способы и устройства для производства химических нитей, мононитей, волокон, щетины и лент
D01F|18|Способы производства химических волокон, нитей, щетины и лент; устройства, специально предназначенные для производства углеродных волокон
D01G|18|Предварительная обработка волокон, например для прядения
D01H|18|Прядение и кручение
D02||Пряжа; окончательная обработка пряжи или нитей механическими средствами; снование
D02G|18|Изготовление извитых волокон, мононитей, нитей и пряжи; прочие нити и пряжа
D02H|18|Сновка, навивка, проборка
D02J|18|Аппретирование или отделка пряжи, нитей, шнуров, канатов и т.п.
D03||Ткачество
D03C|18|Устройства для образования зева; жаккардовые карты и цепи; насекание карт; изготовление патронов
D03D|18|Тканые изделия; способы ткачества; ткацкие станки
D03J|18|Вспомогательные устройства для ткацкого производства; ткацкие инструменты и приборы; челноки
D04||Плетение; изготовление кружев; трикотажно-вязальное производство; басонные изделия; нетканые материалы
D04B|18|Трикотажно-вязальное производство
D04C|18|Производство плетеных изделий и кружев, например изготовление кружев способом вытравливания основы; плетельные машины; плетеные изделия и кружева
D04D|18|Басонные изделия; ленты, шнуры, тесьма
D04G|18|Изготовление сетей путем вязания крученых нитей из текстильных натуральных или синтетических волокон; изготовление ковров и гобеленов путем вязания узлов; способы вязания узлов, не предусмотренные в других подклассах
D04H|18|Изготовление текстильных изделий, например из волокнистого материала или мононитей
D05||Шитье; вышивание; производство прошивных изделий
D05B|18|Шитье
D05C|18|Вышивание, производство прошивных изделий
D06||Обработка текстильных изделий; стирка; эластичные материалы
D06B|18|Обработка текстильных материалов жидкостью, газом или паром
D06C|18|Аппретирование, лощение, ширение, распределение и другие способы отделки текстильных изделий
D06F|18|Стирка; сушка; глажение; прессование или складывание текстильных изделий
D06G|18|Механическая чистка ковров, пледов, пальто, шкур и других изделий текстильного и кожевенного производства; выворачивание эластичных трубчатых или других полых изделий
D06H|18|Маркировка, осмотр, сшивание или разрезание текстильных материалов
D06J|18|Изготовление плиссе, гофре, рюшей на текстильных тканях или на одежде (гофрирование, фальцевание и другие способы деформации бумаги или материала, изготовленного способом, аналогичным способу изготовления бумаги •B 31 F·; в процессе ткачества •D 03 D·; в
D06L|18|Отбеливание, например оптическое; сухая чистка и промывка волокон, нитей, пряжи, тканей, перьев и прочих волокнистых материалов; отбеливание кожи и меха
D06M|18|Обработка нитей, пряжи, тканей, пера или волокнистых изделий, изготовленных из этих материалов, не предусмотренная другими подклассами класса •D 06·
D06N|18|Материалы для покрытия стен, полов и т.п., например линолеум, клеенка, искусственная кожа, кровельные материалы, состоящие из волокнистой основы, покрытой слоем высокомолекулярного вещества; эластичные листовые материалы
D06P|18|Крашение или печатание текстильных материалов; крашение кожи, меха и прочих высокомолекулярных веществ в любом виде
D06Q|18|Декорирование текстильных изделий
D07||Канаты, тросы или кабели, за исключением электрических
D07B|18|Канаты или кабели общего назначения
D21||Производство бумаги; производство целлюлозы
D21B|19|Волокнистое сырье и его механическая обработка
D21C|19|Производство целлюлозы путем удаления нецеллюлозных веществ из содержащих целлюлозу материалов; регенерация варочной жидкости; устройства для этих целей
D21D|19|Обработка материалов перед поступлением на бумагоделательную машину
D21F|19|Бумагоделательные машины; способы производства бумаги на них
D21G|19|Каландры; принадлежности бумагоделательных машин
D21H|19|Составы исходной массы; их приготовление
D21J|19|Фибровый картон; производство изделий из суспензий целлюлозного волокна или из папье-маше
E||Строительство; горное дело
E01||Дорожное строительство; строительство железных дорог и мостов
E01B|20|Верхнее строение пути; способы и устройства для укладки и ремонта рельсовых путей всех типов
E01C|20|Строительство дорог, дорожных покрытий, спортивных площадок и т.п.; машины и вспомогательное оборудование для строительства и ремонта
E01D|20|Мосты
E01F|20|Дополнительные строительные работы, например обустройство дорог, строительство платформ, посадочных площадок для вертолетов, перронов, установка дорожных знаков, снегозащитных ограждений и т.п.
E01H|20|Очистка дорог, улиц; очистка железнодорожного полотна; очистка побережий; очистка территорий; рассеивание тумана вообще
E02||Гидротехнические сооружения; основания и фундаменты; перемещение грунта
E02B|20|Гидротехнические сооружения
E02C|20|Судоподъемные сооружения и устройства
E02D|20|Основания и фундаменты; котлованы; насыпи
E02F|20|Экскавация и перемещение грунта
E03||Водоснабжение; канализация
E03B|20|Способы и установки для добывания, хранения или распределения воды
E03C|20|Водопроводно-канализационные установки для свежей или сточной воды
E03D|20|Промывные уборные или писсуары с промывными и дезинфицирующими устройствами; клапаны для них
E03F|20|Канализационные системы; сточные колодцы
E04||Наземное строительство
E04B|20|Строительные конструкции в целом; стены, например перегородки; крыши; перекрытия; изоляция и прочие средства и способы защиты строительных конструкций и сооружений
E04C|20|Элементы строительных конструкций; строительные материалы
E04D|20|Кровли; слуховые окна
E04F|20|Оборудование и отделка зданий, например лестничных маршей, этажей
E04G|20|Строительные леса; опалубка; рабочие инструменты и прочие вспомогательные устройства для производства строительных работ; изготовление или обработка строительных материалов на строительной площадке; работы, связанные с эксплуатацией, ремонтом, сносом и т.
E04H|20|Здания и подобные сооружения специального назначения; плавательные и мелкие ванны или бассейны; мачты; ограды; палатки, тенты или навесы вообще
E05||Замки; ключи; гарнитура для окон, дверей и прочих створок; сейфы
E05B|20|Замки; вспомогательные приспособления и принадлежности к ним; наручники
E05C|20|Засовы и прочие запирающие устройства для створок, преимущественно для дверей или окон
E05D|20|Петли и другие устройства для навешивания дверей, окон или створок
E05F|20|Устройства для закрывания и открывания окон и дверей; гарнитура для окон, дверей и прочих створок
E05G|20|Сейфы или несгораемые шкафы для хранения ценностей; защитные устройства банков; предохранительные перегородки для проведения деловых операций
E06||Двери, окна, ставни, жалюзи вообще; лестницы
E06B|20|Закрепленные неподвижно или подвижные элементы для закрывания проемов в зданиях, транспортных средствах, ограждениях или т.п. устройствах, например двери, окна, жалюзи, калитки
E06C|20|Лестницы
E21||Бурение; горное дело
E21B|21|Бурение, например глубокое бурение
E21C|21|Эксплуатация шахт и карьеров
E21D|21|Шахтные стволы; туннели; выработки; подземные камеры большого объема
E21F|21|Средства техники безопасности; транспорт; закладка выработанного пространства; оборудование для спасательных работ; вентиляция или дренаж рудников или туннелей
F||Механика; освещение; отопление; двигатели и насосы; оружие и боеприпасы; взрывные работы
F01||Машины или двигатели вообще
F01B|22|Машины или двигатели вообще; машины или двигатели объемного вытеснения, например паровые машины
F01C|22|Роторные машины или двигатели; машины или двигатели с колебательным движением рабочих органов
F01D|22|Машины и двигатели необъемного вытеснения, например паровые турбины
F01K|22|Паросиловые установки; аккумуляторы пара; силовые установки с двигателями
F01L|22|Распределительные механизмы для машин или двигателей
F01M|22|Смазка машин и двигателей; смазка двигателей внутреннего сгорания; продувка картера
F01N|22|Глушители выхлопа или выхлопные устройства для машин или двигателей вообще; глушители выхлопа или выхлопные устройства для двигателей внутреннего сгорания
F01P|22|Охлаждение машин или двигателей вообще; охлаждение двигателей внутреннего сгорания
F02||Двигатели внутреннего сгорания
F02B|22|Поршневые двигатели внутреннего сгорания; двигатели внутреннего сгорания вообще
F02C|22|Газотурбинные установки; воздухозаборники реактивных двигательных установок; управление подачей топлива в воздушно-реактивных двигательных установках
F02D|22|Управление или регулирование двигателей внутреннего сгорания
F02F|22|Цилиндры, поршни, корпуса или кожухи цилиндров; устройство уплотнений в двигателях внутреннего сгорания
F02G|22|Силовые установки и двигатели объемного вытеснения, работающие на горячих газах или продуктах сгорания
F02K|22|Реактивные двигательные установки
F02M|22|Системы подачи топлива или горючей смеси для двигателей внутреннего сгорания и составные части этих систем
F02N|22|Запуск двигателей внутреннего сгорания
F02P|22|Зажигание в двигателях внутреннего сгорания, работающих без самовоспламенения от сжатия; проверка момента зажигания в двигателях с самовоспламенением от сжатия
F03||Гидравлические машины и двигатели
F03B|22|Гидравлические машины и двигатели непоршневого типа
F03C|22|Гидравлические двигатели объемного вытеснения
F03D|22|Ветряные двигатели
F03G|22|Пружинные, гравитационные, инерционные и другие аналогичные двигатели; устройства и механизмы для получения механической энергии
F03H|22|Особые способы и устройства для создания реактивной тяги, не отнесенные к другим подклассам
F04||Гидравлические машины объемного вытеснения; насосы для жидкостей или для сжимаемых текучих сред
F04B|22|Гидравлические машины объемного вытеснения; насосы и компрессоры
F04C|22|Гидравлические машины объемного вытеснения с вращающимися или качающимися рабочими органами
F04D|22|Насосы и компрессоры необъемного вытеснения
F04F|22|Нагнетание текучей среды путем непосредственного контакта с другой текучей средой или путем использования инерции нагнетаемой среды
F15||Гидравлические и пневматические исполнительные механизмы; пневмогидравлические системы общего назначения
F15B|22|Пневмогидравлические системы общего назначения; гидравлические и пневматические исполнительные механизмы, например сервомеханизмы; конструктивные элементы и принадлежности пневмогидравлических систем
F15C|22|Элементы пневматических и гидравлических цепей, предназначенные в основном для вычислительных машин или систем управления и регулирования
F15D|22|Средства воздействия на поток текучей среды
F16||Узлы и детали машин; общие способы и устройства, обеспечивающие нормальную эксплуатацию машин и установок; теплоизоляция вообще
F16B|23|Устройства и детали для закрепления и соединения конструктивных элементов или деталей машин, например гвозди, болты, пружинные кольца, клинья, шпонки, зажимы, обоймы, муфты, замковые соединения
F16C|23|Валы; гибкие валы; детали кривошипных механизмов; вращающиеся детали, не являющиеся частями приводных механизмов; подшипники
F16D|23|Невыключаемые муфты для передачи вращательного движения; выключаемые муфты; тормоза
F16F|23|Пружины; рессоры; амортизаторы; средства для гашения колебаний
F16G|23|Приводные ремни, тросы, канаты; цепи; соединители для них
F16H|23|Передачи
F16J|23|Поршни; цилиндры; сосуды высокого давления вообще; уплотнения
F16K|23|Клапаны; краны; задвижки; поплавки для приведения их в действие; вентиляционные устройства или устройства для аэрации
F16L|23|Трубы и шланги; соединения или фитинги для труб и шлангов; опоры для закрепления труб, шлангов, кабелей или защитных кожухов; средства для теплоизоляции
F16M|23|Рамы; станины и картеры двигателей и других машин, не характерные только для определенных типов двигателей, машин или устройств; опоры или подставки
F16N|23|Смазка
F16P|23|Предохранительные устройства общего назначения
F16S|23|Конструктивные элементы, сборные конструкции, состоящие из этих элементов
F16T|23|Водоотводчики, конденсационные горшки и т.п. устройства для удаления жидкости из замкнутых полостей, содержащих в основном газы или пары
F17||Хранение или распределение газов или жидкостей
F17B|23|Газгольдеры переменной емкости
F17C|23|Сосуды для помещения или хранения газов в сжатом, сжиженном или твердом состоянии; газгольдеры постоянной емкости; наполнение сосудов газами в сжатом, сжиженном или твердом состоянии или выпуск их из сосудов
F17D|23|Системы трубопроводов; трубопроводы
F21||Освещение
F21H|24|Газокалильные сетки; прочие тела накаливания, использующие теплоту сгорания
F21K|24|Источники света
F21L|24|Переносные электроосветительные устройства
F21M|24|Непереносные осветительные устройства или системы с направленным лучом
F21P|24|Непереносные устройства или системы для прожекторного освещения зданий, фонтанов, сцен и для иллюминации
F21Q|24|Непереносные сигнальные осветительные устройства
F21S|24|Непереносные осветительные устройства или системы
F21V|24|Конструктивные элементы осветительных устройств, имеющие общее применение
F22||Генерирование пара
F22B|24|Способы генерирования пара; паровые котлы
F22D|24|Подогрев или аккумулирование подогретой питательной воды; подача воды; регулирование уровня воды; циркуляция воды внутри паровых котлов
F22G|24|Перегрев пара
F23||Способы и устройства для сжигания топлива
F23B|24|Устройства для сжигания твердого топлива
F23C|24|Устройства для сжигания жидкого, газообразного и пылевидного топлива
F23D|24|Горелки, форсунки
F23G|24|Кремационные печи; уничтожение отходов сжиганием
F23H|24|Колосниковые решетки; очистка или шуровка колосниковых решеток
F23J|24|Удаление или переработка продуктов сгорания, в том числе очаговых остатков; дымоходы
F23K|24|Подача топлива к устройствам для сжигания
F23L|24|Устройства для подвода воздуха; устройства для создания тяги; устройства для подачи негорючих жидкостей или газов
F23M|24|Конструктивные элементы камер сгорания
F23N|24|Контроль и регулирование процессов горения
F23Q|24|Зажигание
F23R|24|Получение продуктов сгорания высокого давления или высокой скорости, например камеры сгорания газовых турбин
F24||Отопление; вентиляция; печи и плиты
F24B|24|Бытовые печи или кухонные плиты для твердого топлива; принадлежности для бытовых печей или кухонных плит
F24C|24|Прочие бытовые печи или плиты; детали бытовых печей или плит, имеющие общее применение
F24D|24|Системы отопления для жилых и других зданий, например системы центрального отопления; системы горячего водоснабжения жилых зданий; элементы или узлы таких систем
F24F|24|Кондиционирование воздуха; увлажнение воздуха; вентиляция; использование воздушных потоков для экранирования
F24H|24|Нагреватели текучей среды, например водо- или воздухонагреватели, имеющие средства получения тепла вообще
F24J|24|Получение или использование тепла
F25||Холодильная или морозильная техника; комбинированные системы для нагрева и охлаждения; системы с тепловыми насосами; производство или хранение льда; сжижение или отверждение газов
F25B|24|Холодильные машины, установки или системы; комбинированные системы для нагрева и охлаждения; системы с тепловыми насосами
F25C|24|Производство, обработка, накопление или распределение льда
F25D|24|Холодильники; холодильные камеры; ледники; устройства для охлаждения или замораживания
F25J|24|Сжижение, отверждение или разделение газов или их смесей посредством давления или обработки холодом
F26||Сушка
F26B|24|Сушка твердых материалов или предметов путем удаления из них влаги
F27||Нагревательные, обжиговые, плавильные и ретортные печи
F27B|24|Нагревательные, обжиговые, плавильные, ретортные печи и печи вообще; агломерационные и аналогичные им устройства
F27D|24|Конструктивные элементы и оборудование нагревательных, обжиговых, плавильных и ретортных печей, используемые более чем в одном типе печей
F28||Теплообмен вообще
F28B|24|Конденсаторы для водяного пара или других паров
F28C|24|Теплообменные аппараты
F28D|24|Теплообменные аппараты, не отнесенные к другим подклассам
F28F|24|Элементы теплообменных или теплопередающих устройств общего назначения
F28G|24|Очистка внутренних и внешних поверхностей теплообменных или теплопередающих каналов, например испарительных труб котлов
F41||Оружие
F41A|25|Функциональные особенности или конструктивные элементы, общие для стрелкового оружия и артиллерийских орудий, например пушек; опоры или станки для стрелкового оружия или артиллерийских орудий
F41B|25|Оружие для метания снарядов без применения взрывчатого или горючего метательного заряда; виды оружия
F41C|25|Стрелковое оружие, например пистолеты, винтовки, т.е. огнестрельное оружие, удерживаемое одной или двумя руками при стрельбе
F41F|25|Устройства для метания или пуска снарядов или ракет из стволов, например артиллерийские установки
F41G|25|Прицельные приспособления; наведение
F41H|25|Броневые конструкции; бронебашни; бронированные машины; средства наступления или обороны, например маскировка вообще
F41J|25|Мишени; стрельбища; полигоны; пулеуловители
F42||Боеприпасы; взрывные работы
F42B|25|Заряды, например для взрывных работ; пиротехника; боеприпасы
F42C|25|Взрыватели боеприпасов
F42D|25|Взрывные работы
G||Физика
G01||Измерение
G01B|26|Измерение длины, толщины или подобных линейных размеров; измерение углов; измерение площадей; измерение неровностей поверхностей или контуров
G01C|26|Измерение расстояний, уровней и азимутов для целей топографии или навигации; гироскопические приборы; фотограмметрия
G01D|26|Измерения, специально не предназначенные для измерения особых переменных величин; устройства или приборы для измерения двух или более переменных величин
G01F|26|Измерение объема, объемного расхода, массового расхода или уровня жидкости; измерение объема дозами
G01G|26|Взвешивание
G01H|26|Измерение механических колебаний или ультразвуковых, звуковых или инфразвуковых колебаний
G01J|26|Измерение интенсивности, скорости или спектрального состава, поляризации, фазы или импульсных характеристик инфракрасных, видимых или ультрафиолетовых лучей; колориметрия; радиационная пирометрия
G01K|26|Измерение температуры; измерение количества тепла; термочувствительные элементы
G01L|26|Измерение сил, механического напряжения, крутящего момента, работы, механической энергии, механического коэффициента полезного действия
G01M|26|Проверка статической и динамической балансировки машин; испытания различных конструкций или устройств
G01N|26|Исследование или анализ материалов путем определения их химических или физических свойств
G01P|26|Измерение линейной или угловой скорости, ускорения, замедления или силы ударов
G01R|26|Измерение электрических и магнитных величин
G01S|26|Радиопеленгация; радионавигация; измерение расстояния или скорости с использованием радиоволн; определение местоположения или обнаружение объектов с использованием отражения или переизлучения радиоволн; аналогичные системы с использованием других видов во
G01T|26|Измерение ядерных излучений и рентгеновских лучей
G01V|26|Геофизика; гравитационные измерения; обнаружение скрытых масс или объектов; кабельные наконечники
G01W|26|Метеорология
G02||Оптика
G02B|26|Оптические элементы, системы и приборы
G02C|26|Очки; солнечные или защитные очки с оптическими стеклами
G02F|26|Приборы или устройства для управления интенсивностью, цветом, фазой, поляризацией или направлением света, оптические функции, которые изменяются при изменении оптических свойств среды в этих приборах или устройствах, например для переключения, стробирован
G03||Фотография; кинематография; аналогичное оборудование, использующее волны иные, чем оптические; электрография; голография
G03B|26|Аппараты или устройства для получения фотоснимков или для их проецирования или просмотра; аппараты или устройства, в которых применяется аналогичная техника с использованием волн иных, чем оптические волны; принадлежности для них
G03C|26|Светочувствительные материалы для фотографических целей
G03D|26|Устройства для обработки экспонированных фотоматериалов
G03F|26|Фотомеханическое изготовление рельефных поверхностей или поверхностей с рисунком, например для печати, для изготовления полупроводниковых приборов; материалы для этих целей; оригиналы для этих целей; устройства, специально приспособленные для этих целей
G03G|26|Электрография; электрофотография; магнитография
G03H|26|Способы и устройства для голографии
G04||Часы и прочие измерители времени
G04B|27|Часы механические; механические элементы часов; вообще приборы для определения времени по солнцу, луне или звездам
G04C|27|Электрические часы
G04F|27|Измерение интервалов времени
G04G|27|Электронные часы
G05||Управление; регулирование
G05B|27|Регулирующие и управляющие системы общего назначения; функциональные элементы таких систем; устройства для контроля или испытания таких систем или элементов
G05D|27|Системы управления или регулирования неэлектрических величин
G05F|27|Системы регулирования электрических или магнитных величин
G05G|27|Механические устройства систем управления и регулирования
G06||Вычисление; счет
G06D|27|Гидравлические и пневматические цифровые вычислительные устройства
G06E|27|Оптические вычислительные устройства
G06F|27|Обработка цифровых данных при помощи электрических устройств
G06G|27|Аналоговые вычислительные машины
G06J|27|Гибридные вычислительные устройства
G06K|27|Распознавание, представление и воспроизведение данных; манипулирование носителями информации; носители информации
G06M|27|Счетчики; способы и устройства для подсчета предметов
G06N|27|Компьютерные системы,основанные на специфических вычислительных моделях
G06T|27|Обработка или генерация данных изображения, вообще
G07||Контрольные устройства
G07B|27|Устройства для печатания и выдачи билетов; устройства для контроля оплаты за проезд; устройства для франкирования
G07C|27|Устройства для регистрации времени прихода и ухода рабочих и служащих; устройства для контроля и регистрации работы машин; способы и устройства для генерирования произвольных чисел; устройства для голосования и лотерейные устройства; системы или устройств
G07D|27|Сортировка, контроль, размен, выдача и прочие операции с монетами; контроль или размен бумажных денег; контроль ценных бумаг, облигаций или подобных денежных документов
G07F|27|Монетные и подобные им автоматы
G07G|27|Регистрация приема денег, ценностей или знаков
G08||Сигнализация
G08B|27|Сигнальные и вызывные устройства; командные телеграфные аппараты; устройства подачи сигналов тревоги
G08C|27|Системы для передачи измеряемых переменных величин, управляющих или подобных сигналов
G08G|27|Системы регулирования движения транспортных средств
G09||Средства обучения; тайнопись; дисплеи; рекламное и выставочное дело; печати и опечатывание
G09B|28|Учебные и наглядные пособия для обучения или общения со слепыми, глухими или немыми; макеты; планетарии; глобусы; карты; диаграммы
G09C|28|Шифровальные или дешифровальные устройства для тайнописи или других целей, связанных с секретной перепиской
G09D|28|Таблицы расписания поездов и стоимости проезда; вечные календари
G09F|28|Рекламное и выставочное дело; вывески; бирки, ярлыки или пластинки с заводской маркой; печати
G09G|28|Схемы или устройства управления индикаторными приборами с использованием статических средств для представления переменных величин
G10||Музыкальные инструменты; акустика
G10C|28|Фортепьяно
G10D|28|Музыкальные инструменты
G10F|28|Автоматические музыкальные инструменты
G10G|28|Вспомогательные устройства для игры на музыкальных инструментах (метрономы •G 04 F 5/02·; обучение музыке •G 09 B 15/00·)
G10H|28|Электрические музыкальные инструменты
G10K|28|Звукошумовые устройства
G10L|28|Анализирование или синтезирование речи; распознавание речи
G11||Накопление информации
G11B|28|Накопление информации, основанное на относительном перемещении носителя записи и преобразователя
G11C|28|Запоминающие устройства статического типа
G12||Конструктивные элементы приборов
G12B|28|Конструктивные элементы приборов
G21||Ядерная физика, ядерная техника
G21B|29|Реакторы для ядерного синтеза
F21W|24|Схема кодирования, связанная с подклассами F 21L, F 21S и F 21V, и относящаяся к использованию осветительных устройств или систем
G21C|29|Ядерные реакторы
G21D|29|Ядерные энергетические установки
G21F|29|Защита от рентгеновского излучения, гамма-излучения, корпускулярного излучения, бомбардировки частицами; обработка материалов с радиоактивным заражением; устройства для устранения радиоактивного заражения таких материалов
G21G|29|Преобразование химических элементов; источники радиоактивности
G21H|29|Получение энергии от радиоактивных источников; применение излучения радиоактивных источников; использование космического излучения
G21J|29|Ядерные взрывчатые вещества и их использование
G21K|29|Способы и устройства для управления потоками частиц или электромагнитным излучением, не вошедшие в другие подклассы; рентгеновские и гамма-микроскопы
H||Электричество
H01||Основные элементы электрического оборудования
H01B|30|Кабели; проводники; изоляторы; выбор материалов для получения требуемых характеристик электрической проводимости, изоляции и диэлектрической постоянной
H01C|30|Резисторы
H01F|30|Магниты; индуктивности; трансформаторы; выбор материалов, обеспечивающих магнитные свойства
H01G|30|Конденсаторы; конденсаторы, выпрямители тока, детекторы, переключатели, светочувствительные или термочувствительные устройства электролитического типа
H01H|30|Электрические переключатели
H01J|30|Электрические газоразрядные и вакуумные электронные приборы и газоразрядные осветительные лампы
H01K|30|Электрические лампы накаливания
H01L|30|Полупроводниковые приборы; электрические приборы на твердом теле
H01M|30|Способы и устройства, например батареи, для непосредственного преобразования химической энергии в электрическую
H01P|30|Волноводы; резонаторы, линии или другие устройства типа волноводов
H01Q|30|Антенны
H01R|30|Линейные соединители; токосъемники
H01S|30|Устройства со стимулированным излучением
H01T|30|Искровые разрядники; предохранители от перенапряжений; свечи зажигания; устройства для получения коронного разряда; генерирование ионов для введения в незамкнутые газовые пространства
H02||Производство, преобразование и распределение электрической энергии
H02B|30|Щиты, подстанции и распределительные устройства для подвода и распределения электрической энергии
H02G|30|Прокладка кабелей и проводка линий электропередачи или комбинированных оптических и электрических кабелей или линий
H02H|30|Схемы защиты электрических линий, машин и приборов
H02J|30|Схемы или системы питания электросетей и распределения электрической энергии; системы накопления электрической энергии
H02K|30|Электрические машины
H02M|30|Устройства для преобразования переменного тока в переменный, переменного тока в постоянный и наоборот, постоянного тока в постоянный или предназначенные для использования в электросетях или аналогичных системах энергоснабжения; преобразование входной энер
H02N|30|Электрические генераторы и двигатели особых типов
H02P|30|Управление или регулирование электрических двигателей, генераторов, электромашинных преобразователей; управление трансформаторами, реакторами или дроссельными катушками
H03||Электронные схемы общего назначения
H03B|31|Генерирование электрических колебаний; непосредственное или посредством изменения частоты; с использованием схем с активными элементами, работающими не в режиме коммутации (переключения); генерирование шумов при помощи таких схем
H03C|31|Способы и устройства для модуляции
H03D|31|Способы и устройства для демодуляции или переноса модулированного сигнала с одной несущей на другую
H03F|31|Усилители
H03G|31|Регулирование усиления
H03H|31|Цепи полного (активного и реактивного) сопротивления, например резонансные контуры; резонаторы
H03J|31|Настройка резонансных контуров; избирательность резонансных контуров
H03K|31|Импульсная техника
H03L|31|Автоматическое управление, запуск, синхронизация и стабилизация генераторов электронных колебаний или импульсов
H03M|31|Кодирование; декодирование или преобразование кода вообще
H04||Техника электрической связи
H04B|31|Передача сигналов
H04H|31|Радиовещание
H04J|31|Многоканальные системы связи
H04K|31|Секретная связь; создание искусственных помех
H04L|31|Передача дискретной информации, например телеграфная связь
H04M|31|Телефонная связь
H04N|31|Передача изображений, например телевидение
H04Q|31|Избирательные устройства
H04R|31|Громкоговорители, микрофоны, адаптеры или аналогичные электромеханические преобразователи звука; слуховые аппараты; звукоусилительные устройства
H04S|31|Стереофонические системы
H05||Специальные области электротехники
H05B|30|Электрический нагрев; устройства электрического освещения
H05C|30|Электрические схемы или устройства, специально предназначенные для использовании в оборудовании для убоя, оглушения или загона живых существ
H05F|30|Статическое электричество; источники природного электричества
H05G|30|Рентгенотехника
H05H|30|Плазменная техника
H05K|30|Печатные схемы; корпусы или конструктивные элементы электрических приборов; изготовление блоков элементов электрической аппаратуры
B29K|08|Схема кодирования формовочных материалов или материалов для армирующих элементов, наполнителей или предварительно сформованных частей, например вставок, относящихся к подклассам B29B,B29Cили B29D
B41G|09|Устройства для бронзирования, линования, окаймления или оформления краев листов и т.п.; вспомогательные устройства для перфорирования в процессе печатания
C13G|16|Выпарные аппараты; варочные котлы
G04D|27|Станки, приборы и инструменты для часового производства
G06C|27|Механические цифровые вычислительные машины
G10B|28|Органы; фисгармонии
A61Q|04|Использование косметических или подобных туалетных средств
B60W|10|Системы управления дорожными транспортными средствами, иные чем управление отдельным узлом, например системы, использующие комбинированное управление узлами транспортного средства
G06Q|27|Системы обработки данных или способы, специально предназначенные для административных, коммерческих, финансовых, управленческих, надзорных или прогностических целей; системы или способы, специально предназначенные для административных, коммерческих, финан
A01P|01|Биоцидная, репеллентная, аттрактантная или регулирующая рост растений активность химических соединений или препаратов [8]
F21Y|24|Схема кодирования, связанная с подклассами F 21L, F 21S и F 21V, и относящаяся к форме источников света [7]
B82Y|06|Специфическое использование нано-структур; измерение или анализ нано-структур; производство или обработка нано-структур [2011.01]
C22K|17|Схема индексирования, связанная с подклассами C21D, C22C или C22F, относящаяся к изменению физических характеристик сплавов [6]
C40|17|Комбинаторная химия; библиотеки [8]
C40B|17|Комбинаторная химия; библиотеки, например химические, виртуальные (in silico) [8]
H02S|30|Генерирование электрической энергии путём преобразования инфракрасного излучения, видимого света или ультрафиолетового света, например с использованием фотоэлектрических [PV] модулей (солнечные тепловые коллекторы
F24J||2/00; получение электрической энергии
